ID_E,titre,anneedebut,moisdebut,jourdebut,anneefin,moisfin,jourfin,type,lieu,lieu_expo,lat,long,source,Citation catalogue
ID_E_20,"French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953",1952,1,1,1953,1,1,simple,New York, The Metropolitan Museum of Art,40.7794396,-73.9633825,"BnF, 4°V 18716","French Drawings. Masterpieces from Five Centuries, a loan exhibition organized by L'Association Française d'Action Artistique and circulated by the Smithsonian Institution, 1952-1953, New York, The Plantin Press, 1952."
ID_E_2,Les origines de l'art contemporain. La peinture française de Manet à Bonnard,1947,1,1,1947,12,31,simple,Strasbourg, [non renseigné],48.5806606,7.7521404,"BnF, 8°V Pièce 28062","Les origines de l'art contemporain. La peinture française de Manet à Bonnard, Paris, Société St-Quentinoise d'Imprimerie, 1947."
ID_E_2,Les origines de l'art contemporain. La peinture française de Manet à Bonnard,1947,1,1,1947,12,31,simple,Nancy, [non renseigné],48.6936593,6.1818995,"BnF, 8°V Pièce 28062","Les origines de l'art contemporain. La peinture française de Manet à Bonnard, Paris, Société St-Quentinoise d'Imprimerie, 1947."
ID_E_2,Les origines de l'art contemporain. La peinture française de Manet à Bonnard,1947,1,1,1947,12,31,simple,Besançon, [non renseigné],47.2402146,6.0231696,"BnF, 8°V Pièce 28062","Les origines de l'art contemporain. La peinture française de Manet à Bonnard, Paris, Société St-Quentinoise d'Imprimerie, 1947."
ID_E_19,Renoir,1952,4,1,1952,6,15,simple,Nice, Galerie des Ponchettes,43.6953636,7.2737694,"INHA, P2 16 1952","Renoir, Nice, [éditeur non précisé], 1952."
ID_E_18,Renoir. Festival de Lyon-Charbonnières. Exposition organisée sous l'égide du syndicat d'initiative de Lyon,1952,1,1,1952,12,31,simple,Lyon, Musée de Lyon,45.766606,4.834343,INHA 8 H 2951,"Renoir. Festival de Lyon-Charbonnières. Exposition organisée sous l'égide du syndicat d'initiative de Lyon, [éditeur non précisé], 1952."
ID_E_17,Exposition Gustave Courbet 1819-1877,1952,8,23,1952,10,10,simple,Besançon, Musée des Beaux-Arts,47.2402146,6.0231696,INHA 8 H 2706,"Exposition Gustave Courbet 1819-1877, Besançon, Imprimerie de l'Est, 1952."
ID_E_16,Toulouse-Lautrec. Exposition en l'honneur du cinquantième anniversaire de sa mort,1951,5,1,1951,8,1,simple,Paris, Orangerie des Tuileries,48.8637655,2.3226602,"BnF, 16-V-2908 ","Toulouse-Lautrec. Exposition en l'honneur du cinquantième anniversaire de sa mort, Paris, Editions des musées nationaux, 1951."
ID_E_15,Les origines de l'art contemporain,1951,4,28,1951,6,3,simple,Rennes, Musée des Beaux-Arts,48.1096227,-1.6749412,"INHA, 8 P 1951 0017","Les origines de l'art contemporain, Rennes, Imprimeries Réunies, 1951."
ID_E_14,L'Ecole de Paris 1900-1950,1951,1,1,1951,12,31,simple,Londres, Royal Academy of Arts,51.5092768,-0.1397381,"BnF, 8-V-75183 ","L'Ecole de Paris 1900-1950, Londres, WM. Clowes & Sons, 1951."
ID_E_13,Het franse landschap van Poussin tot Cézanne,1951,3,18,1951,6,4,AFAA,Amsterdam, Rijksmuseum,52.3598759,4.8850584,INHA YD2 2038,"Het franse landschap van Poussin tot Cézanne, Amsterdam, Rijksmuseum, 1951."
ID_E_12,Gauguin et le groupe de Pont-Aven,1950,7,1,1950,9,1,simple,Quimper, Musée des Beaux-Arts,47.9962356,-4.1023193,"BnF, 16-V-2485 ","Gauguin et le groupe de Pont-Aven, Paris, Frazier-Soye imprimeurs, 1950."
ID_E_11,De Manet a nuestros dias. Exposicion de pintura francesa,1949,7,1,1950,1,1,simple,Buenos Aires, Museo de bellas artes,-34.5839152,-58.3929152,Collection particulière (Victoria Marquez-Feldman),"De Manet a nuestros dias. Exposicion de pintura francesa, Edicion del Comité pour le rayonnement français en Argentine, 1949."
ID_E_11,De Manet hasta nuestros dias. Exposicion de pintura francesa contemporánea,1950,5,1,1950,6,30,AFAA,Santiago, Museo nacional de bellas artes,-33.435367,-70.64344,http://biblio.uchile.cl/client/es_ES/default/search/results;jsessionid=4315B3C68B192A25D4F630AB392770DB?qu=Pintura+francesa+--+Chile.&ic=true,"De Manet hasta nuestros dias. Exposicion de pintura francesa contemporánea, [éditeur non précisé], 1950."
ID_E_11,De Manet a nuestros dias. Exposicion de pintura francesa,1950,1,1,1950,4,31,simple,Caracas, Museo de bellas artes,10.5003856,-66.8961931,"INHA, 8 P 1950 0017","De Manet a nuestros dias. Exposicion de pintura francesa, [éditeur non précisé], 1950."
ID_E_11,Exposicion de pintura francesa. De Manet hasta nuestros días,1950,7,1,1950,12,31,simple,Montevideo, Planta alta derecha del Teatro Solis,-34.9077977,-56.2010452,"BnF, 4° Piece 2462","Exposicion de pintura francesa. De Manet hasta nuestros días, [éditeur non précisé], 1950."
ID_E_10,"Austellung Französischer meister um 1900 (Schule von Gauguin). Bonnard, Denis, Gauguin, Lacombe, Ranson, Rippl-Ronay, Roussel, Sérusier, Vallotton, Verkade, Vuillard",1949,10,1,1949,11,31,simple,Vienne, Palais Lobkowitz,48.2055926,16.3684777,BnF 8 V 29431,"Austellung Französischer meister um 1900 (Schule von Gauguin). Bonnard, Denis, Gauguin, Lacombe, Ranson, Rippl-Ronay, Roussel, Sérusier, Vallotton, Verkade, Vuillard, Vienne, Imprimerie nationale de France, 1949."
ID_E_1,La peinture française moderne. Moderne Französische Malerei,1946,9,1,1946,12,31,simple,Baden-Baden, Kurhaus,48.7603523,8.2362954,"INHA, 8 H 1365","La peinture française moderne. Moderne Französische Malerei, Baden-Baden, Woldemar Klein Verlag, 1946."
